,City ID Number,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed,Longitude
0,3833367,Ushuaia,-54.8,11.0,76,40,4.1,-68.3
1,3874787,Punta Arenas,-53.15,12.89,87,100,6.7,-70.92
2,3652764,Puerto Ayora,-0.74,26.67,100,22,3.13,-90.35
3,2191562,Dunedin,-45.87,19.44,55,25,5.36,170.5
4,3194099,Opatija,45.34,9.47,66,75,7.2,14.31
5,6167817,Torbay,47.67,-7.19,73,5,4.6,-52.73
6,546105,Nikolskoye,59.7,-1.65,92,75,3.0,30.79
7,656820,Iisalmi,63.56,-7.0,92,90,2.6,27.19
8,2075265,Busselton,-33.65,22.3,34,69,7.12,115.33
9,2171099,Codrington,-38.27,17.3,81,100,10.21,141.97
10,6620339,Karratha,-20.74,29.86,82,43,4.64,116.85
11,6185377,Yellowknife,62.46,-24.82,75,20,3.6,-114.35
12,3366880,Hermanus,-34.42,18.33,80,0,2.68,19.23
13,2022572,Khatanga,71.97,-17.14,94,96,6.0,102.5
14,64814,Bandarbeyla,9.49,25.07,69,0,5.06,50.81
15,578467,Bazarnye Mataki,54.88,-6.78,91,30,4.28,49.93
16,1267390,Kavaratti,10.57,28.0,78,20,1.98,72.64
17,1791388,Wenzhou,28.0,15.38,83,100,1.18,120.67
18,1819729,Hong Kong,22.29,23.31,83,40,1.5,114.16
19,1015776,Bredasdorp,-34.53,17.03,87,14,4.1,20.04
20,4500920,Brigantine,39.41,-1.42,46,75,2.1,-74.36
21,2074865,Carnarvon,-24.87,28.0,58,0,8.2,113.63
22,496358,Severnyy,50.68,-1.0,86,0,3.0,36.55
23,4030556,Rikitea,-23.12,26.48,80,100,6.84,-134.97
24,3418910,Upernavik,72.79,-30.71,89,87,1.7,-56.15
25,2121025,Srednekolymsk,67.45,-11.34,80,0,3.14,153.68
26,3416888,Grindavik,63.84,1.41,74,75,5.7,-22.43
27,5924351,Clyde River,70.47,-31.0,67,1,8.2,-68.59
28,964432,Port Alfred,-33.59,16.67,91,0,0.45,26.89
29,4020109,Atuona,-9.8,27.69,77,16,7.8,-139.03
30,5710360,Winnemucca,40.97,3.07,38,90,10.8,-117.74
31,2126199,Cherskiy,68.75,-17.11,90,0,1.97,161.3
32,3372707,Ribeira Grande,38.52,14.44,88,89,9.28,-28.7
33,4035715,Avarua,-21.21,29.0,79,1,3.6,-159.78
34,5969025,Haines Junction,60.75,-11.45,97,100,4.43,-137.51
35,189741,Lamu,-2.27,28.0,76,100,1.94,40.9
36,3616253,Siuna,13.73,21.21,89,99,2.19,-84.78
37,515879,Oktyabr'skiy,54.48,-6.11,91,100,2.93,53.47
38,1692685,Puerto Princesa City,9.74,31.0,58,20,7.7,118.74
39,6201424,Mataura,-46.19,21.18,48,41,2.94,168.86
40,1045114,Inhambane,-23.86,23.63,73,100,7.01,35.38
41,2189343,Kaeo,-35.1,27.65,68,56,4.6,173.78
42,2208248,Kaitangata,-46.28,14.56,73,68,6.22,169.85
43,2017155,Saskylakh,71.92,-17.99,92,74,5.24,114.08
44,3369157,Cape Town,-33.93,16.08,82,0,1.0,18.42
45,2264557,Ponta do Sol,32.67,15.75,72,20,3.1,-17.1
46,1529376,Korla,41.76,-0.3,53,0,0.29,86.15
47,3933024,Paramonga,-10.67,22.69,89,100,2.88,-77.83
48,4032243,Vaini,-21.2,30.0,74,20,5.7,-175.2
49,371745,Kutum,14.2,13.72,21,0,2.66,24.67
50,5106841,Albany,42.6,-8.12,85,1,4.1,-73.97
51,2206939,Bluff,-46.6,20.86,46,95,2.15,168.33
52,986717,Kruisfontein,-34.0,14.6,91,0,2.93,24.73
53,1507059,Dvurechensk,56.6,0.0,93,75,4.0,61.1
54,2986110,Pont-Sainte-Maxence,49.3,6.52,75,75,8.7,2.6
55,4031574,Provideniya,64.38,-17.53,75,0,6.35,-173.3
56,2160735,Lakes Entrance,-37.88,31.67,27,91,4.92,147.98
57,3948613,Acarí,-15.43,20.61,79,100,0.9,-74.62
58,2702261,Kalmar,56.66,5.4,87,100,6.7,16.36
59,3129839,Aras,42.56,9.73,58,90,4.1,-2.36
60,5855927,Hilo,19.73,18.62,54,20,6.2,-155.09
61,2094342,Kavieng,-2.57,29.38,69,75,1.32,150.8
62,3430443,Necochea,-38.55,17.46,95,0,0.89,-58.74
63,3424607,Tasiilaq,65.61,-9.0,72,100,1.0,-37.64
64,2122104,Petropavlovsk-Kamchatskiy,53.05,-1.0,54,20,2.0,158.65
65,1106677,Bambous Virieux,-20.34,25.0,94,40,2.42,57.76
66,5557293,Sitka,57.05,3.0,74,90,2.6,-135.33
67,3839307,Rawson,-43.3,20.05,58,0,6.46,-65.1
68,3831208,Qaanaaq,77.48,-31.44,70,0,2.56,-69.36
69,2167426,Emerald,-23.53,31.59,52,0,2.6,148.17
70,1737714,Limbang,4.75,30.06,74,75,3.1,115.0
71,1651810,Airai,-8.93,29.04,52,87,1.79,125.41
72,57000,Hobyo,5.35,22.63,85,74,3.65,48.53
73,2063042,Port Hedland,-20.32,34.0,67,31,4.6,118.57
74,2180815,Tuatapere,-46.13,20.94,44,80,2.42,167.68
75,3833883,Trelew,-43.25,20.62,34,0,5.4,-65.31
76,2171069,Colac,-38.33,26.88,53,69,3.58,143.58
77,945945,Upington,-28.45,24.0,64,20,5.1,21.26
78,2159220,Mackay,-21.15,30.87,62,1,6.7,149.2
79,4021858,Guerrero Negro,27.98,17.53,51,95,5.07,-114.06
80,686090,Asău,46.43,0.49,70,100,6.2,26.4
81,2110227,Butaritari,3.07,28.05,81,100,8.59,172.79
82,2030065,Mandalgovi,45.76,-7.18,54,100,8.65,106.27
83,777019,Vardø,70.37,-5.12,82,60,2.44,31.11
